Id;name;folder;dist_mm;area_mm;golden_ratio;sagging;tilt;out_angle;in_angle;elongation
0;E:\Data\CT2020\Portraits\Chine\021.JPG;Chine;54.2551236;202.87125;1.799894404;0.997529176;0.200656827;0.956847227;0.868603981;0.317324247
1;E:\Data\CT2020\Portraits\Chine\024.JPG;Chine;42.32387807;184.23;1.800092342;0.961693881;0.140710384;0.994682024;0.876808392;0.334803558
2;E:\Data\CT2020\Portraits\Chine\025.JPG;Chine;46.35932274;211.7475;1.794218698;0.987936538;0.163840252;1.088160684;0.919138487;0.359696147
3;E:\Data\CT2020\Portraits\Chine\027.JPG;Chine;48.40579714;202.53375;1.806995895;1.023654804;0.152157633;1.095086076;0.92515294;0.362138359
4;E:\Data\CT2020\Portraits\Chine\030.JPG;Chine;48.77243395;173.458125;1.785965227;1.061375224;0.164125951;1.038264634;0.904627266;0.35303449
5;E:\Data\CT2020\Portraits\Chine\031.JPG;Chine;46.63923869;161.566875;1.785905494;1.058982339;0.165954309;0.860719455;0.798914065;0.280950889
6;E:\Data\CT2020\Portraits\Chine\033.JPG;Chine;45.02535215;151.16625;1.784801674;1.020393029;0.131489422;0.987407992;0.869952694;0.319196783
7;E:\Data\CT2020\Portraits\Chine\036.JPG;Chine;41.88167526;137.739375;1.798711552;1.035399806;0.18983128;0.946605804;0.809949614;0.307520474
8;E:\Data\CT2020\Portraits\Chine\038.JPG;Chine;42.90505136;105.350625;1.832125423;1.069372063;0.10564172;0.731723179;0.695171232;0.250303305
9;E:\Data\CT2020\Portraits\Chine\040.JPG;Chine;43.54120833;146.334375;1.780279367;0.954302518;0.148145685;0.889301497;0.814248008;0.292893959
10;E:\Data\CT2020\Portraits\Chine\042.JPG;Chine;45.54668364;160.695;1.79091921;1.056352912;0.163735497;0.927566802;0.861651075;0.315778477
11;E:\Data\CT2020\Portraits\Chine\043.JPG;Chine;48.05273011;154.7775;1.771409069;1.082643084;0.166507067;0.781380302;0.748339254;0.263462448
12;E:\Data\CT2020\Portraits\Chine\046.JPG;Chine;42.2298333;167.13;1.817059354;1.04953181;0.173747394;1.077711044;0.859863931;0.347646942
13;E:\Data\CT2020\Portraits\Chine\047.JPG;Chine;39.65339323;212.54625;1.827724804;0.976536363;0.150721931;1.194510891;0.985459935;0.388333742
14;E:\Data\CT2020\Portraits\Chine\050.JPG;Chine;45.04105588;173.626875;1.782967906;0.979049477;0.146688935;0.869508762;0.809379895;0.298740634
15;E:\Data\CT2020\Portraits\Chine\052.JPG;Chine;48.70945457;174.459375;1.807623879;1.003338094;0.150587224;0.970489038;0.881222994;0.318765827
16;E:\Data\CT2020\Portraits\Chine\053.JPG;Chine;44.24261207;169.32375;1.79316902;0.958941559;0.141404152;0.944106371;0.812924027;0.312064527
17;E:\Data\CT2020\Portraits\Chine\056.JPG;Chine;43.97458282;162.0675;1.793745491;0.966967644;0.144525257;0.987530894;0.837454947;0.324657709
18;E:\Data\CT2020\Portraits\Chine\058.JPG;Chine;47.24084649;192.223125;1.796644175;1.032261629;0.163440142;0.935056808;0.786663068;0.308094779
19;E:\Data\CT2020\Portraits\Chine\060.JPG;Chine;45.88547218;163.130625;1.768546282;0.978446502;0.175979496;0.969923793;0.885462088;0.326252701
20;E:\Data\CT2020\Portraits\Chine\061.JPG;Chine;43.86519013;197.37;1.79994763;1.025317706;0.158245077;0.987307702;0.819871435;0.320286529
21;E:\Data\CT2020\Portraits\Chine\064.JPG;Chine;43.07679349;141.26625;1.831505192;0.971551073;0.145304519;0.916908502;0.76889548;0.297134073
22;E:\Data\CT2020\Portraits\Chine\066.JPG;Chine;46.27954582;177.73875;1.77969864;1.027006261;0.19095039;0.916358435;0.804031371;0.3039825
23;E:\Data\CT2020\Portraits\Chine\068.JPG;Chine;50.24796815;165.07125;1.804649833;1.007055855;0.178898407;0.940998076;0.810159075;0.307797477
24;E:\Data\CT2020\Portraits\Chine\070.JPG;Chine;43.80677313;137.655;1.784236042;1.011514652;0.186197381;0.94417268;0.780645139;0.301113371
25;E:\Data\CT2020\Portraits\Chine\072.JPG;Chine;46.545922;136.35;1.789627535;1.073695817;0.162687644;0.78614325;0.684249323;0.259755112
26;E:\Data\CT2020\Portraits\Chine\074.JPG;Chine;43.66447591;143.5275;1.788565904;1.02262811;0.157359005;0.934038241;0.831384631;0.305286612
27;E:\Data\CT2020\Portraits\Chine\076.JPG;Chine;42.70283541;147.178125;1.795570868;1.055599931;0.177666313;0.986781972;0.847609309;0.324872989
